dir,entry,sl,tp,lot,open_ts,exit,reason,pnl,year,month,date
LONG,1939.085,1915.33,1974.71,0.04,2020-07-28 08:00:00+00:00,1974.71,tp,141.5,2020,7,2020-07-29
LONG,1955.955,1945.56,1971.54,0.1,2020-09-14 08:00:00+00:00,1971.54,tp,154.85000000000036,2020,9,2020-09-15
SHORT,1875.155,1886.49,1858.16,0.09,2020-11-18 12:00:00+00:00,1858.16,tp,151.95499999999902,2020,11,2020-11-19
SHORT,1783.965,1794.16,1768.67,0.1,2021-02-18 06:00:00+00:00,1768.67,tp,151.94999999999845,2021,2,2021-02-18
SHORT,1715.818,1727.61,1698.14,0.08,2021-03-04 08:00:00+00:00,1698.14,tp,140.42399999999907,2021,3,2021-03-04
LONG,1872.415,1860.39,1890.45,0.08,2021-05-19 08:00:00+00:00,1890.45,tp,143.28000000000065,2021,5,2021-05-25
SHORT,1763.614,1774.53,1747.24,0.09,2021-09-23 08:00:00+00:00,1747.24,tp,146.36600000000018,2021,9,2021-09-23
LONG,1799.208,1789.01,1814.5,0.1,2021-11-05 08:00:00+00:00,1814.5,tp,151.91999999999916,2021,11,2021-11-05
SHORT,1793.425,1804.04,1777.51,0.09,2021-11-29 06:00:00+00:00,1804.04,sl,-96.53500000000008,2021,11,2021-11-30
LONG,1839.364,1833.1,1848.76,0.16,2022-01-20 06:00:00+00:00,1833.1,sl,-101.22400000000198,2022,1,2022-01-21
LONG,1955.078,1945.46,1969.5,0.1,2022-04-12 06:00:00+00:00,1969.5,tp,143.22000000000025,2022,4,2022-04-12
SHORT,1704.371,1713.96,1689.99,0.1,2022-07-15 07:00:00+00:00,1713.96,sl,-96.88999999999942,2022,7,2022-07-15
SHORT,1701.518,1709.94,1688.89,0.12,2022-09-14 07:00:00+00:00,1688.89,tp,150.53599999999915,2022,9,2022-09-15
LONG,1672.778,1659.89,1692.12,0.08,2022-11-08 08:00:00+00:00,1692.12,tp,153.73599999999897,2022,11,2022-11-08
LONG,1815.675,1807.76,1827.54,0.13,2022-12-21 07:00:00+00:00,1807.76,sl,-103.89499999999954,2022,12,2022-12-22
LONG,1810.265,1802.45,1821.99,0.13,2022-12-29 08:00:00+00:00,1821.99,tp,151.42499999999885,2022,12,2022-12-30
LONG,1818.805,1812.13,1828.82,0.15,2022-12-30 06:00:00+00:00,1828.82,tp,149.2249999999981,2023,1,2023-01-02
LONG,1838.795,1827.58,1855.62,0.09,2023-01-03 08:00:00+00:00,1827.58,sl,-101.93500000000131,2023,1,2023-01-03
LONG,1851.635,1839.86,1869.3,0.08,2023-01-06 08:00:00+00:00,1869.3,tp,140.3199999999997,2023,1,2023-01-06
LONG,1899.945,1887.76,1918.23,0.08,2023-01-13 08:00:00+00:00,1918.23,tp,145.28000000000065,2023,1,2023-01-13
LONG,1928.615,1918.38,1943.96,0.1,2023-01-20 07:00:00+00:00,1918.38,sl,-103.34999999999901,2023,1,2023-01-23
SHORT,1822.935,1830.13,1812.15,0.14,2023-10-05 07:00:00+00:00,1812.15,tp,149.989999999998,2023,10,2023-10-06
LONG,2012.365,2005.96,2021.98,0.16,2023-11-27 13:00:00+00:00,2021.98,tp,152.84000000000015,2023,11,2023-11-28
LONG,2068.045,2061.13,2078.41,0.14,2023-12-27 06:00:00+00:00,2078.41,tp,144.10999999999697,2023,12,2023-12-27
SHORT,2004.275,2015.02,1988.16,0.09,2024-02-13 08:00:00+00:00,1988.16,tp,144.03500000000008,2024,2,2024-02-14
LONG,2372.485,2359.16,2392.48,0.08,2024-05-15 08:00:00+00:00,2359.16,sl,-107.60000000000218,2024,5,2024-05-15
LONG,2357.905,2349.14,2371.05,0.11,2024-07-04 06:00:00+00:00,2371.05,tp,143.5949999999998,2024,7,2024-07-05
LONG,2440.658,2427.35,2460.62,0.08,2024-08-01 07:00:00+00:00,2460.62,tp,158.6959999999999,2024,8,2024-08-01
LONG,2736.075,2725.33,2752.2,0.09,2024-10-22 08:00:00+00:00,2752.2,tp,144.125,2024,10,2024-10-23
LONG,2760.428,2748.27,2778.67,0.08,2024-10-29 08:00:00+00:00,2778.67,tp,144.9360000000015,2024,10,2024-10-29
SHORT,2634.785,2648.62,2614.03,0.07,2024-12-06 12:00:00+00:00,2648.62,sl,-97.84500000000025,2024,12,2024-12-09
LONG,2645.425,2634.57,2661.71,0.09,2025-01-06 06:00:00+00:00,2634.57,sl,-98.69500000000016,2025,1,2025-01-06
LONG,2651.848,2641.93,2666.73,0.1,2025-01-08 07:00:00+00:00,2666.73,tp,147.82000000000062,2025,1,2025-01-08
LONG,2671.185,2660.26,2687.57,0.09,2025-01-09 13:00:00+00:00,2687.57,tp,146.46500000000196,2025,1,2025-01-10
LONG,2723.885,2712.01,2741.69,0.08,2025-01-21 06:00:00+00:00,2741.69,tp,141.4399999999987,2025,1,2025-01-21
LONG,2936.185,2922.46,2956.77,0.07,2025-02-19 08:00:00+00:00,2922.46,sl,-97.07499999999938,2025,2,2025-02-19
LONG,3365.898,3346.9,3394.4,0.05,2025-08-05 08:00:00+00:00,3394.4,tp,141.5099999999998,2025,8,2025-08-07
LONG,3377.375,3363.07,3398.84,0.07,2025-08-26 07:00:00+00:00,3398.84,tp,149.25500000000102,2025,8,2025-08-27
LONG,3410.605,3399.47,3427.31,0.09,2025-08-29 07:00:00+00:00,3427.31,tp,149.34499999999932,2025,8,2025-08-29
LONG,3540.715,3519.55,3572.46,0.05,2025-09-04 06:00:00+00:00,3572.46,tp,157.72499999999948,2025,9,2025-09-05
LONG,3959.895,3934.21,3998.43,0.04,2025-10-07 06:00:00+00:00,3998.43,tp,153.13999999999942,2025,10,2025-10-07
LONG,3989.605,3951.09,4047.37,0.03,2025-10-10 13:00:00+00:00,4047.37,tp,172.29499999999962,2025,10,2025-10-13
LONG,4133.275,4101.0,4181.69,0.03,2025-11-25 06:00:00+00:00,4181.69,tp,144.2449999999999,2025,11,2025-11-27
LONG,4341.878,4315.35,4381.67,0.04,2025-12-17 08:00:00+00:00,4315.35,sl,-107.11199999999737,2025,12,2025-12-18
LONG,4524.839,4494.08,4570.97,0.03,2025-12-26 08:00:00+00:00,4494.08,sl,-93.27700000000004,2025,12,2025-12-29
LONG,4671.805,4640.27,4719.11,0.03,2026-01-19 07:00:00+00:00,4719.11,tp,140.91499999999814,2026,1,2026-01-20
